Name;Codigo;Codigo Decimal;Comentarios;Descripcion Corta;System;Nivel;Source File;Macro Name
Buttons Can K2v Recived;0x3900;14592;;;Panel;Nivel 3;Fusi_Panel_RBN.c;DTC_BUTTONS_CAN_K2V_RECIVED
Vision Can Life Recived;0x3901;14593;;;Panel;Nivel 2;Fusi_Panel_RBN.c;DTC_VISION_CAN_LIFE_RECIVED
Jarvis Can System Recived;0x4000;16384;;;Jarvis;Nivel 3;Fusi_Jarvis.c;DTC_JARVIS_CAN_SYSTEM_RECIVED
Jarvis Can Gpio Recived;0x4001;16385;;;Jarvis;Nivel 2;Fusi_Jarvis.c;DTC_JARVIS_CAN_GPIO_RECIVED
Jarvis Can Error Recived;0x4002;16386;;;Jarvis;Nivel 2;Fusi_Jarvis.c;DTC_JARVIS_CAN_ERROR_RECIVED
Jarvis Can Command Send;0x4003;16387;;;Jarvis;Nivel 2;Fusi_Jarvis.c;DTC_JARVIS_CAN_COMMAND_SEND
Jarvis Can Speed Recived;0x4004;16388;;;Jarvis;Nivel 1;Fusi_Jarvis.c;DTC_JARVIS_CAN_SPEED_RECIVED
Jarvis Can Pressure Recived;0x4005;16389;;;Jarvis;Nivel 4;Fusi_Jarvis.c;DTC_JARVIS_CAN_PRESSURE_RECIVED
Jarvis Can Throttle Recived;0x4006;16390;;;Jarvis;Nivel 5;Fusi_Jarvis.c;DTC_JARVIS_CAN_THROTTLE_RECIVED
Jarvis Can Asr Recived;0x4007;16391;;;Jarvis;Nivel 2;Fusi_Jarvis.c;DTC_JARVIS_CAN_ASR_RECIVED
Jarvis Can Asr Box Recived;0x4008;16392;;;Jarvis;Nivel 2;Fusi_Jarvis.c;DTC_JARVIS_CAN_ASR_BOX_RECIVED
Air Leak;0x4100;16640;;;Air;Nivel 2;Fusi_Service_Air.c;DTC_AIR_LEAK
Air Compressor Temp;0x4101;16641;;;Air;Nivel 2;Fusi_Service_Air.c;DTC_AIR_COMPRESSOR_TEMP
Air Low Pressure;0x4102;16642;;;Air;Nivel 2;Fusi_Service_Air.c;DTC_AIR_LOW_PRESSURE
